dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3,cal_loss_bias:values,cal_loss_bias,cal_loss_bias:mean,cal_loss_bias:median,cal_loss_bias:std,cal_loss_bias:Q1,cal_loss_bias:Q3,norm_min_calibration_bias:values,norm_min_calibration_bias,norm_min_calibration_bias:mean,norm_min_calibration_bias:median,norm_min_calibration_bias:std,norm_min_calibration_bias:Q1,norm_min_calibration_bias:Q3
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.14719626 0.17523364 0.14719626 0.20093458 0.12850467],0.160 ± 0.025,0.1598130841121495,0.14719626168224298,0.02540612564311812,0.14719626168224298,0.17523364485981308,[0.27874087 0.30761095 0.28078676 0.35226286 0.2814848 ],0.300 ± 0.028,0.3001772494925474,0.2814848011558227,0.028117922627974863,0.2807867569216263,0.30761095339572364,[0.01366162 0.01824632 0.02022174 0.02701346 0.02253727],0.020 ± 0.004,0.02033608353214029,0.020221743331644768,0.004435342291891595,0.01824631504545328,0.022537273940269338,[ 0.6669367   1.7843053   0.86906916 10.98184     8.395047  ],4.539 ± 4.300,4.539439,1.7843053,4.2995095,0.8690691590309143,8.395047187805176,[0.27921662 0.30406156 0.2812307  0.31574526 0.2595238 ],0.288 ± 0.020,0.28795558,0.2812307,0.019807214,0.27921661734580994,0.30406156182289124
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.14719626 0.17523364 0.18691589 0.22663551 0.12616822],0.172 ± 0.034,0.1724299065420561,0.17523364485981308,0.034446574755106756,0.14719626168224298,0.1869158878504673,[0.30221383 0.30624441 0.34882902 0.40934643 0.28392184],0.330 ± 0.045,0.3301111056366324,0.30624441317379586,0.04496648277857675,0.3022138296062077,0.3488290169789936,[0.03090091 0.00891629 0.03913274 0.04777098 0.03127516],0.032 ± 0.013,0.03159921596241774,0.03127515833944402,0.012910364177712306,0.030900913685143083,0.039132735579666754,[ 8.382135   1.3460349 20.205467  23.395475   9.181333 ],12.502 ± 8.130,12.502089,9.181333,8.129783,8.382135391235352,20.205467224121094,[0.27921697 0.30406147 0.2812295  0.31574577 0.2595238 ],0.288 ± 0.020,0.28795552,0.2812295,0.01980739,0.2792169749736786,0.3040614724159241
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.32242991 0.31775701 0.32242991 0.3317757  0.3364486 ],0.326 ± 0.007,0.32616822429906545,0.32242990654205606,0.006867728250793961,0.32242990654205606,0.3317757009345794,[0.53015524 0.51482006 0.52589978 0.5430446  0.54779819],0.532 ± 0.012,0.5323435743075275,0.5301552427156802,0.011889003423807786,0.525899783365028,0.5430446039497681,[0.03937853 0.01876166 0.02214154 0.040959   0.03740723],0.032 ± 0.009,0.03172959133093139,0.03740723055323487,0.009338326278430259,0.022141539834838117,0.039378526308814804,[5.06578   2.57167   4.2975793 7.6354756 8.436989 ],5.601 ± 2.161,5.6014986,5.06578,2.1607466,4.297579288482666,7.6354756355285645,[0.5066716  0.50492126 0.5066717  0.50492084 0.50492066],0.506 ± 0.001,0.5056212,0.50492126,0.00085768756,0.5049208402633667,0.5066716074943542
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.31775701 0.31775701 0.31775701 0.31775701 0.31775701],0.318 ± 0.000,0.31775700934579443,0.31775700934579443,0.0,0.31775700934579443,0.31775700934579443,[0.68321071 0.68246029 0.68321071 0.68246029 0.68246029],0.683 ± 0.000,0.6827604532693797,0.6824602852244503,0.0003676292735829293,0.6824602852244503,0.6832107053367739,[0.17495928 0.17700146 0.17495928 0.17700146 0.17700146],0.176 ± 0.001,0.17618459102109169,0.17700146444396994,0.0010004615352462028,0.17495928088677437,0.17700146444396994,[26.333302 26.504066 26.333302 26.504066 26.504066],26.436 ± 0.084,26.43576,26.504066,0.08365739,26.333301544189453,26.504066467285156,[0.50667155 0.50492185 0.50667155 0.50492185 0.50492185],0.506 ± 0.001,0.50562173,0.50492185,0.00085717166,0.5049218535423279,0.5066715478897095
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,bias_only,test,[0.30140187 0.31775701 0.30607477 0.30373832 0.31542056],0.309 ± 0.007,0.3088785046728971,0.30607476635514014,0.006508592652889782,0.3037383177570093,0.3154205607476635,[0.68259116 0.6821813  0.68238872 0.68155402 0.68156933],0.682 ± 0.000,0.682056906397773,0.6821813014541552,0.00042464805372896574,0.6815693259672171,0.6823887232623812,[0.19032377 0.18018925 0.18736583 0.18827227 0.18248307],0.186 ± 0.004,0.18572683821264896,0.18736582691481657,0.0037811155022988516,0.18248307137742173,0.18827226666050056,[26.266449 26.474022 26.244572 26.40634  26.40799 ],26.360 ± 0.089,26.359875,26.40634,0.088912055,26.266448974609375,26.407989501953125,[0.50667197 0.50492024 0.5066709  0.50492096 0.50492114],0.506 ± 0.001,0.5056211,0.50492114,0.000857639,0.5049209594726562,0.5066708922386169
sst2,256,512,basic_sst2_0-shot_litgpt,0,lm_tinyllama,no_adaptation,temp_scaling,test,[0.31775701 0.31775701 0.31775701 0.31775701 0.31775701],0.318 ± 0.000,0.31775700934579443,0.31775700934579443,0.0,0.31775700934579443,0.31775700934579443,[0.51680053 0.52285737 0.52849251 0.51517859 0.51991889],0.521 ± 0.005,0.5206495784000816,0.519918888766327,0.00472581803875143,0.51680052568196,0.5228573714590868,[0.02614872 0.03676566 0.05099028 0.01488884 0.02787911],0.031 ± 0.012,0.0313345211439868,0.02787911087128258,0.012042747931572432,0.02614872068117892,0.03676565727451096,[2.6125767 4.0693235 4.767113  2.639484  3.527142 ],3.523 ± 0.831,3.5231278,3.527142,0.83135736,2.63948392868042,4.069323539733887,[0.5066709  0.50492173 0.5066719  0.50492066 0.50492096],0.506 ± 0.001,0.50562125,0.50492173,0.000857459,0.5049209594726562,0.5066708922386169
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,affine_scalar_train_on_val,test,[0.56890509 0.53091266 0.5063788  0.53595962 0.51745409],0.532 ± 0.021,0.5319220524323567,0.5309126594700687,0.021198327739105943,0.5174540866395626,0.5359596242815086,[0.68354465 0.58244067 0.5375594  0.5400833  0.51987536],0.573 ± 0.059,0.5727006728080185,0.5400832962556853,0.05911103153955916,0.5375593958586664,0.5824406689855585,[0.17345483 0.05657601 0.09023537 0.05474626 0.04707201],0.084 ± 0.047,0.08441689574646746,0.056576007760306,0.04692911589132347,0.05474625792892389,0.09023537356674027,[39.59877  27.221275 24.936062 17.272606 22.76821 ],26.359 ± 7.396,26.359385,24.936062,7.396163,22.76820945739746,27.221275329589844,[0.41336042 0.42441508 0.40399146 0.44724613 0.4020121 ],0.418 ± 0.017,0.41820502,0.41336042,0.016550872,0.4039914608001709,0.42441508173942566
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,lora,no_calibration,test,[0.61629048 0.54338988 0.53918407 0.57030702 0.52474415],0.559 ± 0.032,0.5587831207065751,0.5433898780316838,0.03230982234400059,0.5391840740221505,0.5703070236926959,[0.9728483  0.78688041 0.69795795 0.86215047 0.65539673],0.795 ± 0.114,0.7950467722393427,0.7868804104622587,0.11411516571150601,0.6979579458109867,0.8621504732655318,[0.34825999 0.2180155  0.21973945 0.26886575 0.17736966],0.246 ± 0.059,0.24645007145709624,0.21973945074340276,0.05858635846182811,0.21801550343990056,0.26886575050536976,[57.560764 46.129944 42.186604 48.176468 38.738014],46.558 ± 6.389,46.558357,46.129944,6.389441,42.18660354614258,48.17646789550781,[0.4133605  0.42441508 0.40399155 0.44724616 0.40201208],0.418 ± 0.017,0.41820508,0.4133605,0.016550869,0.40399155020713806,0.42441508173942566
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,affine_scalar,test,[0.50063087 0.44595542 0.49193888 0.4526847  0.46095612],0.470 ± 0.022,0.4704331978129819,0.4609561194448339,0.021809994578315745,0.452684704892752,0.4919388756483948,[0.51122485 0.47728779 0.52551545 0.47551528 0.48686435],0.495 ± 0.020,0.49528154596948415,0.4868643545674118,0.01976667626903727,0.47728779037501773,0.5112248497671658,[0.04847486 0.03334423 0.0685935  0.03038985 0.06517637],0.049 ± 0.016,0.0491957612109222,0.04847486438915573,0.01572962081818212,0.0333442262433071,0.065176365437115,[14.287305   8.192779  16.64731    7.8505697 10.030124 ],11.402 ± 3.482,11.401618,10.030124,3.4823,8.192778587341309,14.287304878234863,[0.43857187 0.4385719  0.43841657 0.43857187 0.43841636],0.439 ± 0.000,0.43850976,0.43857187,7.613711e-05,0.43841657042503357,0.43857187032699585
20newsgroups,4,80,basic_20newsgroups_0-shot_litgpt,0,lm_tinyllama,no_adaptation,no_calibration,test,[0.60479462 0.60479462 0.60409365 0.60479462 0.60409365],0.605 ± 0.000,0.6045142296368989,0.6047946165708677,0.00034340245938354247,0.6040936492359457,0.6047946165708677,[0.83278103 0.83278103 0.83271973 0.83278103 0.83271973],0.833 ± 0.000,0.8327565097757059,0.8327810318217862,3.0033250172984093e-05,0.8327197267065852,0.8327810318217862,[0.24291227 0.24291227 0.24250646 0.24291227 0.24250646],0.243 ± 0.000,0.24274994387668108,0.2429122661214564,0.00019880333680132332,0.24250646050951813,0.2429122661214564,[47.382965 47.382965 47.39751  47.382965 47.39751 ],47.389 ± 0.007,47.388783,47.382965,0.007125782,47.382965087890625,47.39751052856445,[0.43857196 0.43857196 0.4384162  0.43857196 0.4384162 ],0.439 ± 0.000,0.43850964,0.43857196,7.630011e-05,0.4384162127971649,0.438571959733963
